Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time_1,Moving Time,Distance_M,Max Speed,Average Speed,elevation,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,cadence,Max Heart Rate_3,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,temp_avg,Relative Effort_4,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,power_np,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute_5,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media,WorkoutDescription,PlannedDuration,PlannedDistanceInMeters,WorkoutDay,distance_m,power_avg,PowerMax,Energy,duration_h,VelocityAverage,VelocityMax,CadenceAverage,CadenceMax,hr_avg,HeartRateMax,TorqueAverage,TorqueMax,if_score,tss,HRZone1Minutes,HRZone2Minutes,HRZone3Minutes,HRZone4Minutes,HRZone5Minutes,HRZone6Minutes,HRZone7Minutes,HRZone8Minutes,HRZone9Minutes,HRZone10Minutes,PWRZone1Minutes,PWRZone2Minutes,PWRZone3Minutes,PWRZone4Minutes,PWRZone5Minutes,PWRZone6Minutes,PWRZone7Minutes,PWRZone8Minutes,PWRZone9Minutes,PWRZone10Minutes,Rpe,Feeling,WATTS_ADJUSTED,VELOCITY_KM_H,STRAVA_AVG_SPEED_KMH,STRAVA_ADJ_WATTS,Title,training_type,weight,id,start_date_local,name,type.1,moving_time,distance.1,elapsed_time,total_elevation_gain,max_speed,average_speed,AVG_SPEED_KMH,has_heartrate,max_heartrate,average_heartrate,average_cadence,calories.1,device_watts,icu_average_watts,icu_normalized_watts,icu_joules,icu_intensity,icu_training_load,icu_training_load_edited,icu_rpe,pace,icu_fatigue,icu_fitness,icu_eftp,icu_variability,icu_efficiency,trainer,commute,race,sub_type,icu_ftp,icu_w_prime,p_max,threshold_pace,power_load,hr_load,pace_load,icu_resting_hr,lthr,hr_z1,hr_z2,hr_z3,hr_z4,hr_z5,hr_z6,hr_max,hr_z1_secs,hr_z2_secs,hr_z3_secs,hr_z4_secs,hr_z5_secs,hr_z6_secs,hr_z7_secs,z1_secs,z2_secs,z3_secs,z4_secs,z5_secs,z6_secs,z7_secs,sweet_spot_secs,icu_weight,icu_ignore_power,icu_ignore_hr,icu_ignore_time,icu_recording_time,icu_warmup_time,icu_cooldown_time,icu_hrrc,icu_hrrc_start_bpm,icu_power_spike_threshold,icu_pm_ftp,icu_pm_cp,icu_pm_w_prime,icu_pm_p_max,start_date,icu_sync_date,timezone,FTP,date,activity_type,icu_pm_ftp_secs,icu_pm_ftp_watts,icu_rolling_cp,icu_rolling_w_prime,icu_rolling_p_max,icu_rolling_ftp,icu_rolling_ftp_delta,icu_atl,icu_ctl,ss_p_max,ss_w_prime,ss_cp,paired_event_id,icu_weighted_avg_watts,carbs_used,activity_name,description,icu_distance,duration_secs,coasting_time,total_elevation_loss,calories,min_temp,max_temp,avg_lr_balance,gap,gap_model,use_elevation_correction,perceived_exertion,device_name,power_meter,power_meter_serial,power_meter_battery,crank_length,external_id,file_sport_index,file_type,icu_athlete_id,created,analyzed,icu_hr_zones,pace_zones,icu_power_zones,icu_sweet_spot_min,icu_sweet_spot_max,trimp,icu_chat_id,ignore_velocity,ignore_pace,ignore_parts,icu_training_load_data,interval_summary,skyline_chart_bytes,stream_types,has_weather,has_segments,power_field_names,power_field,icu_zone_times,icu_hr_zone_times,pace_zone_times,gap_zone_times,use_gap_zone_times,custom_zones,tiz_order,polarization_index,icu_achievements,icu_intervals_edited,lock_intervals,icu_lap_count,icu_joules_above_ftp,icu_max_wbal_depletion,icu_hrr,icu_sync_error,icu_color,icu_power_hr_z2,icu_power_hr_z2_mins,icu_cadence_z2,feel,kg_lifted,decoupling,icu_median_time_delta,p30s_exponent,workout_shift_secs,strava_id,lengths,pool_length,compliance,coach_tick,source,oauth_client_id,oauth_client_name,average_altitude,min_altitude,max_altitude,hr_load_type,pace_load_type,tags,attachments,recording_stops,average_weather_temp,min_weather_temp,max_weather_temp,average_feels_like,min_feels_like,max_feels_like,average_wind_speed,average_wind_gust,prevailing_wind_deg,headwind_percent,tailwind_percent,average_clouds,max_rain,max_snow,carbs_ingested,route_id,analysis_issues,athlete_max_hr,group,efficiency,power_hr_ratio,session_rpe,average_stride,power_avg_icu,variability,strain_score,gear.id,gear.name,gear.distance,gear.primary,icu_hrr.start_index,icu_hrr.end_index,icu_hrr.start_time,icu_hrr.end_time,icu_hrr.start_bpm,icu_hrr.end_bpm,icu_hrr.average_watts,icu_hrr.hrr,gear,w_per_kg,ftp_stimulus,power_adj
2869660932.0,2019-11-16,Dark days,Ride,,6054.0,39.86,,Bianchi Sempre Pro,activities/3045130207.fit.gz,55.0,8.0,6054.0,6000.0,39865.9,16.5,6.681,886.0,948.0,266.0,655.0,14.0,-0.2,,,120.0,83.0,,,,174.0,1164.0,,5.0,,905377.0,,,,,,,,199.0,6055.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WU: 30' entre 150-160w MS: 3x15' en pujada entre 230-245w / (10' recup -150w) CD: 30' entre 150-160w.,2.25,,"Saturday, November 16, 2019",39870.58984375,174.0,486.0,1035.497,1.65777778625488,6.68100023269653,,84.0,,,,,,0.777334085672363,100.54,,,,,,,,,,,31.0,19.0,27.0,18.0,4.0,1.0,,,,,,,174.0,24.05160084,24.0516,174.0,SST.,SST,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.0
2871044272.0,2019-11-17,Running from beatings,Ride,,6505.0,41.62,,Bianchi Sempre Pro,activities/3046813565.fit.gz,55.0,8.0,6505.0,6389.0,41619.4,16.5,6.501,964.0,921.0,200.0,670.6,20.4,0.1,,,119.0,78.0,,,,166.0,1184.0,,7.0,,962272.0,,,,,,,,195.0,6506.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunday, November 17, 2019",41630.5390625,168.0,460.0,1061.866,1.77888894081116,6.50099992752075,,77.0,,,,,,0.772311088270964,105.94,,,,,,,,,,,38.0,24.0,19.0,17.0,7.0,1.0,,,,,,,168.0,23.40359974,23.4036,166.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0
2885042384.0,2019-11-23,Fucking wind hard,Ride,,10991.0,71.94,,Bianchi Sempre Pro,activities/3064239593.gpx.gz,55.0,8.0,10991.0,10130.0,71942.3,16.4,7.102,1189.6,,194.0,648.0,19.6,0.0,,,115.0,81.0,,,,157.0,1775.0,,11.0,,,,,,,,,,178.0,10694.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saturday, November 23, 2019",71938.7578125,154.0,553.0,1590.357,2.82805562019348,7.06599998474121,,82.0,,148.0,179.0,,,0.726552509264835,149.32,29.0,41.0,33.0,48.0,13.0,5.0,1.0,,,,69.0,42.0,29.0,17.0,7.0,5.0,,,,,,,154.0,25.43759995,25.5672,157.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.0
2887567349.0,2019-11-24,My legs gave it up,Ride,,9486.0,62.63,,Bianchi Sempre Pro,activities/3067412051.gpx.gz,55.0,8.0,9486.0,9362.0,62630.3,17.1,6.69,1293.8,,112.2,650.2,21.3,0.0,,,114.0,81.0,,,,163.0,1696.0,,8.0,,,,,,,,,,186.0,9487.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunday, November 24, 2019",62660.19140625,160.0,628.0,1519.787,2.59972214698792,6.69500017166138,,82.0,,138.0,168.0,,,0.739960035299865,141.75,44.0,54.0,33.0,23.0,2.0,0.0,0.0,,,,55.0,39.0,34.0,17.0,7.0,4.0,,,,,,,160.0,24.10200062,24.084,163.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0
2903611973.0,2019-12-01,They say the bad guys wear black,Ride,,7507.0,50.15,,Bianchi Sempre Pro,activities/3087361832.fit.gz,55.0,8.0,7507.0,7444.0,50154.0,16.4,6.759,1154.0,1088.0,170.8,643.2,17.6,0.1,,,114.0,84.0,,,,175.0,1453.0,,9.0,,1133694.0,,,,,,,,196.0,7508.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunday, December 1, 2019",50166.73828125,175.0,479.0,1297.384,2.06166672706604,6.75899982452393,,85.0,,,,,,0.775991656820286,124.24,,,,,,,,,,,39.0,24.0,32.0,21.0,6.0,2.0,,,,,,,175.0,24.33239937,24.3324,175.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.0
2917634757.0,2019-12-07,Ride my rocket,Ride,,5178.0,32.04,,Bianchi Sempre Pro,activities/3103944887.fit.gz,55.0,8.0,5178.0,5049.0,32046.4,16.0,6.369,659.0,664.0,219.4,682.6,19.0,0.0,,,122.0,83.0,,,,166.0,932.0,,7.0,,734648.0,,,,,,,,181.0,5179.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saturday, December 7, 2019",32057.30078125,165.0,515.0,831.221,1.39805555343628,6.36899995803833,,84.0,,,,,,0.721760767818354,72.85,,,,,,,,,,,28.0,19.0,25.0,8.0,2.0,1.0,,,,,,,165.0,22.92839985,22.9284,166.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.0
2919880808.0,2019-12-08,I left my manhood or whatever I have in that fucking climb,Ride,,24564.0,110.74,,Bianchi Sempre Pro,activities/3106561273.gpx.gz,55.0,8.0,24564.0,19623.0,110747.0,15.7,5.644,2454.8,,100.2,1021.6,29.8,-0.1,,,117.0,75.0,,,,141.0,3086.0,,9.0,,,,,,,,,,174.0,21949.0,0.0,,0.0,,,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunday, December 8, 2019",110343.7734375,137.0,630.0,2737.788,5.43055534362793,5.64400005340576,,75.0,,142.0,179.0,,,0.720137752626952,281.81,97.0,64.0,52.0,61.0,23.0,27.0,2.0,,,,156.0,63.0,49.0,33.0,15.0,10.0,,,,,,,137.0,20.31840019,20.3184,141.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.0
2931816513.0,2019-12-14,It's storming broken glass,Ride,,7326.0,48.66,,Bianchi Sempre Pro,activities/3120558055.gpx.gz,55.0,8.0,7326.0,7260.0,48665.8,16.8,6.703,1102.8,,189.2,656.8,18.0,0.1,,,120.0,85.0,,,,167.0,1353.0,,11.0,,,,,,,,,,190.0,7327.0,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saturday, December 14, 2019",48740.140625,167.0,452.0,1211.944,2.01444435119629,6.72100019454956,,86.0,,148.0,173.0,,,0.750649244395873,113.13,26.0,19.0,16.0,47.0,10.0,3.0,0.0,,,,42.0,25.0,32.0,17.0,4.0,2.0,,,,,,,167.0,24.1956007,24.1308,167.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.0
2934217884.0,2019-12-15,Fucking hostile,Ride,,6872.0,46.33,,Bianchi Sempre Pro,activities/3123314988.gpx.gz,55.0,8.0,6872.0,6664.0,46335.4,16.8,6.953,939.2,,137.0,647.0,11.1,-0.1,,,122.0,83.0,,,,176.0,1305.0,,9.0,,,,,,,,,,197.0,6873.0,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sunday, December 15, 2019",46434.2109375,172.0,523.0,1170.138,1.86166667938232,6.92799997329712,,85.0,,142.0,177.0,,,0.780621238644914,113.11,30.0,29.0,26.0,22.0,2.0,2.0,0.0,,,,34.0,23.0,28.0,19.0,5.0,3.0,,,,,,,172.0,24.9407999,25.0308,176.0,Cycling,AEROBIC BASE,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.0
2946528153.0,2019-12-21,💀💀💀,Ride,,8530.0,50.65,,Bianchi Sempre Pro,activities/3137494653.gpx.gz,55.0,8.0,8530.0,8129.0,50654.5,15.6,6.231,1070.6,,249.2,684.0,25.5,0.0,,,113.0,82.0,,,,149.0,1352.0,,11.0,,,,,,,,,,178.0,8531.0,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,2729980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WU: 45' entre 140-160w. 15' entre 180-200w MS: 5x1' en pujada entre 250-270w (85-95rpm sentat)/ (2'recup -180w entre 80-85rpm) 15' entre 140-160w 5x1' en pujada entre 250-270w (85-95rpm sentat)/ (2'recup -180w entre 80-85rpm) CD: 45' entre 140-160w.,2.5,,"Saturday, December 21, 2019",50657.98828125,146.0,572.0,1206.848,2.24694442749023,6.26300001144409,,84.0,,135.0,177.0,,,0.720462483577112,115.97,49.0,30.0,25.0,19.0,5.0,6.0,0.0,,,,55.0,38.0,23.0,8.0,6.0,4.0,,,,,,,146.0,22.54680004,22.4316,149.0,Força Velocitat (Q-I),Q-I INTERVALS,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.0,2019-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0
